Domain Value,Domain Name,Domain Refloc,Sort Order,Parent Domain Value,Description,Domain Type,Active
KIT_ORDER,KIT_TYPE,KITS,1,ITEM_TYPE KIT,,LIST_OF_VALUES,Y
BOOLEAN,LABEL,DOMAINS,1,,,LIST_OF_VALUES,Y
LACE_FLAT,LACE_TYPE,LACE,1,RAW_INGREDIENT_TYPE LACE,,LIST_OF_VALUES,Y
LACE_ROUND,LACE_TYPE,LACE,2,RAW_INGREDIENT_TYPE LACE,,LIST_OF_VALUES,Y
ORDERED,ORDER_STATUS,ORDERS,1,STATUS ORDER,,LIST_OF_VALUES,Y
CANCELLED,ORDER_STATUS,ORDERS,4,STATUS ORDER,,LIST_OF_VALUES,Y
COMPLETED,ORDER_STATUS,ORDERS,5,STATUS ORDER,,LIST_OF_VALUES,Y
PAID,ORDER_STATUS,ORDERS,2,STATUS ORDER,,LIST_OF_VALUES,Y
PURCHASE,ORDER_TYPE,ORDERS,1,TYPE ORDER,,LIST_OF_VALUES,Y
SALE,ORDER_TYPE,ORDERS,2,TYPE ORDER,,LIST_OF_VALUES,Y
OTHER,ORNAMENT_TYPE,ORNAMENTS,1,CREATED_ITEM_TYPE ORNAMENT,,LIST_OF_VALUES,Y
CHRISTMAS_TREE_HANGER,ORNAMENT_TYPE,ORNAMENTS,2,CREATED_ITEM_TYPE ORNAMENT,,LIST_OF_VALUES,Y
OTHER,OTHER_INGREDIENT_TYPE,OTHER_INGREDIENTS,1,INGREDIENT_TYPE OTHER,,LIST_OF_VALUES,Y
INGREDIENT_ORDER,OTHER_INGREDIENT_TYPE,OTHER_INGREDIENTS,2,INGREDIENT_TYPE OTHER,,LIST_OF_VALUES,Y
OTHER,OTHER_ITEM_TYPE,OTHER_ITEMS,1,ITEM_TYPE OTHER,,LIST_OF_VALUES,Y
ITEM_ORDER,OTHER_ITEM_TYPE,OTHER_ITEMS,2,ITEM_TYPE OTHER,,LIST_OF_VALUES,Y
NATURAL_PERSON,PERSON_TYPE,PERSONS,1,TYPE PERSON,,LIST_OF_VALUES,Y
LEGAL_PERSON,PERSON_TYPE,PERSONS,2,TYPE PERSON,,LIST_OF_VALUES,Y
WIRE,RAW_INGREDIENT_TYPE,RAW_INGREDIENTS,4,INGREDIENT_TYPE RAW_INGREDIENT,,LIST_OF_VALUES,Y
LACE,RAW_INGREDIENT_TYPE,RAW_INGREDIENTS,3,INGREDIENT_TYPE RAW_INGREDIENT,,LIST_OF_VALUES,Y
OTHER,RAW_INGREDIENT_TYPE,RAW_INGREDIENTS,1,INGREDIENT_TYPE RAW_INGREDIENT,,LIST_OF_VALUES,Y
CHAIN,RAW_INGREDIENT_TYPE,RAW_INGREDIENTS,2,INGREDIENT_TYPE RAW_INGREDIENT,,LIST_OF_VALUES,Y
JUMPRING_HALFROUND,RING_TYPE,RINGS,2,CRAFTED_INGREDIENT_TYPE RING,,LIST_OF_VALUES,Y
JUMPRING_ROUND,RING_TYPE,RINGS,1,CRAFTED_INGREDIENT_TYPE RING,,LIST_OF_VALUES,Y
ITEM,SALE_STATUS,DOMAINS,1,,,LIST_OF_VALUES,Y
SCALE_SMALL,SCALE_TYPE,SCALES,2,CRAFTED_INGREDIENT_TYPE SCALE,,LIST_OF_VALUES,Y
SCALE_TINY,SCALE_TYPE,SCALES,3,CRAFTED_INGREDIENT_TYPE SCALE,,LIST_OF_VALUES,Y
SCALE_LARGE,SCALE_TYPE,SCALES,1,CRAFTED_INGREDIENT_TYPE SCALE,,LIST_OF_VALUES,Y
SET_MAKE,SET_TYPE,SETS,2,ITEM_TYPE SET,,LIST_OF_VALUES,Y
SET_ORDER,SET_TYPE,SETS,1,ITEM_TYPE SET,,LIST_OF_VALUES,Y
ORDER,STATUS,DOMAINS,1,,,LIST_OF_VALUES,Y
ORDER_ITEM,STATUS,DOMAINS,2,,,LIST_OF_VALUES,Y
RUBBER_COATING,TOOL_TYPE,TOOLS,6,ITEM_TYPE TOOL,,LIST_OF_VALUES,Y
BOX,TOOL_TYPE,TOOLS,4,ITEM_TYPE TOOL,,LIST_OF_VALUES,Y
CALIPER,TOOL_TYPE,TOOLS,3,ITEM_TYPE TOOL,,LIST_OF_VALUES,Y
