1,1,3.55,3.2,3.9,1
2,2,3.2,NULL,NULL,1
3,3,4.3,NULL,NULL,1
4,4,4.9,NULL,NULL,1
5,5,2.1,2,NULL,1
6,6,2.1,2,NULL,1
7,7,2.1,2,NULL,1
8,8,2.1,2,NULL,1
9,9,2.1,2,NULL,1
10,10,2.2,NULL,NULL,1
11,10,4.1,NULL,NULL,2
12,11,3.5,2.83,NULL,1
13,12,4.9,4.25,NULL,1
14,13,3.3,NULL,NULL,1
15,14,4,NULL,NULL,1
16,14,6.2,NULL,NULL,2
17,15,4.3,3.9,5,1
18,15,7,5.7,NULL,1
19,17,5.5,4.8,NULL,1
20,18,4.3,3.5,NULL,1
21,31,3.5,3.2,4,1
22,20,5.5,5.2,5.8,1
23,20,2.8,2.6,4.3,2
24,19,3.3,2.9,NULL,1
25,19,2.1,2,NULL,2
26,32,3.9,NULL,NULL,1
27,21,9.9,2,NULL,1
28,22,5.1,3.8,NULL,1
29,23,4.2,3.7,NULL,1
30,24,3.5,NULL,NULL,1
31,25,2.9,2.7,3.2,1
32,26,4,NULL,NULL,1
33,27,5.3,5.1,NULL,1
34,27,3.3,2,NULL,1
35,28,2.7,2.6,2.9,1
36,29,3.83,3.6,4,1
37,30,4.3,4.1,4.5,1
38,99,6.25,NULL,NULL,1
39,99,4.18,NULL,NULL,2
40,33,5,4.4,5.4,1
41,34,4,NULL,NULL,1
42,35,4.9,4.6,5.3,1
43,37,4.2,4,NULL,1
44,38,3.3,NULL,NULL,1
45,39,5.3,5.2,NULL,1
46,40,4,NULL,NULL,1
47,36,5.6,4.7,NULL,1
48,41,3.1,NULL,NULL,1
49,42,6.1,5.7,6.5,1
50,42,3.9,3.7,4.6,2
51,43,6.5,NULL,NULL,1
52,43,4.6,3.5,NULL,2
53,44,5.9,NULL,NULL,1
54,44,3.9,3.5,NULL,2
55,45,4.5,NULL,NULL,1
56,45,3.1,NULL,NULL,2
57,46,4,3.8,NULL,1
58,47,4.7,4.1,NULL,1
59,49,7,NULL,NULL,1
60,50,4,4.16,NULL,1
61,51,5,4.6,NULL,1
62,52,7.8,5.2,NULL,1
63,53,5,NULL,NULL,1
64,54,5.5,NULL,NULL,1
65,54,3.3,NULL,NULL,2
66,55,4.8,4.6,5,1
67,48,5.2,NULL,NULL,1
68,48,6.5,NULL,NULL,1
